symbol,timestamp,open,high,low,close,volume
MNQ,2026-04-21 09:30:00+00:00,18500.0,18502.0,18499.0,18501.0,4200
MNQ,2026-04-21 09:35:00+00:00,18502.0,18504.0,18501.0,18503.0,4220
MNQ,2026-04-21 09:40:00+00:00,18504.0,18506.0,18503.0,18505.0,4240
MNQ,2026-04-21 09:45:00+00:00,18506.0,18508.0,18505.0,18507.0,4260
MNQ,2026-04-21 09:50:00+00:00,18508.0,18510.0,18507.0,18509.0,4280
MNQ,2026-04-21 09:55:00+00:00,18510.0,18512.0,18509.0,18511.0,4300
MNQ,2026-04-21 10:00:00+00:00,18512.0,18514.0,18511.0,18513.0,4320
MNQ,2026-04-21 10:05:00+00:00,18514.0,18516.0,18513.0,18515.0,4340
MNQ,2026-04-21 10:10:00+00:00,18516.0,18518.0,18515.0,18517.0,4360
MNQ,2026-04-21 10:15:00+00:00,18518.0,18520.0,18517.0,18519.0,4380
MNQ,2026-04-21 10:20:00+00:00,18520.0,18522.0,18519.0,18521.0,4400
MNQ,2026-04-21 10:25:00+00:00,18522.0,18524.0,18521.0,18523.0,4420
MNQ,2026-04-21 10:30:00+00:00,18524.0,18526.0,18523.0,18525.0,4440
MNQ,2026-04-21 10:35:00+00:00,18526.0,18528.0,18525.0,18527.0,4460
MNQ,2026-04-21 10:40:00+00:00,18528.0,18530.0,18527.0,18529.0,4480
MNQ,2026-04-21 10:45:00+00:00,18530.0,18532.0,18529.0,18531.0,4500
MNQ,2026-04-21 10:50:00+00:00,18532.0,18534.0,18531.0,18533.0,4520
MNQ,2026-04-21 10:55:00+00:00,18534.0,18536.0,18533.0,18535.0,4540
MNQ,2026-04-21 11:00:00+00:00,18536.0,18538.0,18535.0,18537.0,4560
MNQ,2026-04-21 11:05:00+00:00,18538.0,18540.0,18537.0,18539.0,4580
